狀態,課程名,時間
,冰球課程,2026/07/04(六)｜10:00–11:00
,冰球課程,2026/07/05(日)｜10:00–11:00
,冰球課程,2026/07/11(六)｜10:00–11:00
,冰球課程,2026/07/12(日)｜10:00–11:00
,冰球課程,2026/07/18(六)｜10:00–11:00
,冰球課程,2026/07/19(日)｜10:00–11:00
,冰球課程,2026/07/25(六)｜10:00–11:00
,冰球課程,2026/07/26(日)｜10:00–11:00
,冰球課程,2026/07/04(六)｜20:00–21:00
,冰球課程,2026/07/11(六)｜20:00–21:00
,冰球課程,2026/07/18(六)｜20:00–21:00
,冰球課程,2026/07/25(六)｜20:00–21:00
,冰球課程,是
